away_score,home_score,game_id,season,season_type,home_team_id,home_team_name,home_team_abbrev,away_team_id,away_team_name,away_team_abbrev,game_date,home_win,away_win,home_time_in_front,away_time_in_front,home_time_in_front_fr,away_time_in_front_fr,away_time_behind,home_time_behind,home_win1,home_win2,home_win3,home_win4,away_win1,away_win2,away_win3,away_win4,home_win_a1,home_win_a2,home_win_a3,home_win_a4,away_win_a1,away_win_a2,away_win_a3,away_win_a4,home_time_behind_fr,away_time_behind_fr,win_time_in_front,lose_time_in_front,win_team,lose_team,win_time_behind,lose_time_behind
79,89,400900585,2017,2,15,Milwaukee,MIL,30,Charlotte,CHA,17266,TRUE,FALSE,967,1655,0.33576388888888886,0.5746527777777778,967,1655,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.5746527777777778,0.33576388888888886,0.33576388888888886,0.5746527777777778,MIL,CHA,0.5746527777777778,0.33576388888888886
105,101,400900586,2017,2,8,Detroit,DET,27,Washington,WSH,17266,FALSE,TRUE,42,2698,0.014583333333333334,0.9368055555555556,42,2698,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.9368055555555556,0.014583333333333334,0.9368055555555556,0.014583333333333334,WSH,DET,0.014583333333333334,0.9368055555555556
98,99,400900587,2017,2,22,Portland,POR,24,San Antonio,SA,17266,TRUE,FALSE,1799,907,0.6246527777777777,0.31493055555555555,1799,907,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.31493055555555555,0.6246527777777777,0.6246527777777777,0.31493055555555555,POR,SA,0.31493055555555555,0.6246527777777777
96,125,400900588,2017,2,12,LA,LAC,10,Houston,HOU,17266,TRUE,FALSE,1834,818,0.6368055555555555,0.28402777777777777,1834,818,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.28402777777777777,0.6368055555555555,0.6368055555555555,0.28402777777777777,LAC,HOU,0.28402777777777777,0.6368055555555555
105,99,400900589,2017,2,9,Golden State,GS,26,Utah,UTAH,17266,FALSE,TRUE,651,1970,0.22604166666666667,0.6840277777777778,651,1970,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.6840277777777778,0.22604166666666667,0.6840277777777778,0.22604166666666667,UTAH,GS,0.22604166666666667,0.6840277777777778
110,97,400900574,2017,2,18,New York,NY,28,Toronto,TOR,17265,FALSE,TRUE,1716,969,0.5958333333333333,0.33645833333333336,1716,969,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.33645833333333336,0.5958333333333333,0.33645833333333336,0.5958333333333333,TOR,NY,0.5958333333333333,0.33645833333333336
125,126,400900575,2017,2,1,Atlanta,ATL,5,Cleveland,CLE,17265,TRUE,FALSE,47,3063,0.013055555555555556,0.8508333333333333,47,3063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.8508333333333333,0.013055555555555556,0.013055555555555556,0.8508333333333333,ATL,CLE,0.8508333333333333,0.013055555555555556
106,105,400900576,2017,2,7,Denver,DEN,25,Oklahoma City,OKC,17265,FALSE,TRUE,2185,600,0.7586805555555556,0.20833333333333334,2185,600,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.20833333333333334,0.7586805555555556,0.20833333333333334,0.7586805555555556,OKC,DEN,0.7586805555555556,0.20833333333333334
111,124,400900577,2017,2,21,Phoenix,PHX,6,Dallas,DAL,17265,TRUE,FALSE,2623,175,0.9107638888888889,0.06076388888888889,2623,175,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.06076388888888889,0.9107638888888889,0.9107638888888889,0.06076388888888889,PHX,DAL,0.06076388888888889,0.9107638888888889
135,128,400900578,2017,2,23,Sacramento,SAC,10,Houston,HOU,17265,FALSE,TRUE,49,2798,0.017013888888888887,0.9715277777777778,49,2798,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.9715277777777778,0.017013888888888887,0.9715277777777778,0.017013888888888887,HOU,SAC,0.017013888888888887,0.9715277777777778
